Name,L,A,B
ISSY ND5,53.85228855685003,134.60272055775957,145.01833505883835
ISSY NF1,148.6120806029442,131.81741815137048,146.74132516548465
ISSY NF1.5,112.57240419297102,135.4262963629344,147.98763629333823
ISSY NL2,117.38576941904442,134.31750709217212,148.3637570483689
ISSY NL2.5,103.87644294371678,132.74326629441688,147.08109165158547
ISSY NM3,106.60122701131826,132.87082987901374,148.61424938596602
ISSY NM3.5,102.20877821614819,132.45397849182265,147.30309920556945
ISSY NT4,82.43614148135146,133.85380846591093,146.39433986451263
ISSY NT4.5,67.02011805351874,134.22350242431958,145.47034235248805
ISSY OD5,61.899265500243835,132.97548819966428,144.40077272230772
ISSY OF1,131.37803120376583,129.81219581671698,148.02142440048314
ISSY OF1.5,111.62093284293185,130.66286443282,147.8206304096639
ISSY OL2,99.63846935997746,132.0110544383092,147.75306967197898
ISSY OL2.5,84.91336642855536,130.72532768967213,145.98697972884227
ISSY OM3,85.12492918676288,130.48680702756994,147.28739345657544
ISSY OM3.5,78.8074166875961,131.639262895183,145.66831747425542
ISSY OT4,71.26736498328209,132.69067765387334,142.97868424459753
ISSY OT4.5,58.46118891091621,132.1182225761751,146.50789087250587
ISSY YD5,49.951610545586995,133.8984333679382,143.57385781209754
ISSY YF1,154.5402557443918,131.0791528551076,155.76386490068305
ISSY YF1.5,140.97378953967913,132.16192350885095,152.93866639063364
ISSY YL2,124.18922843845984,132.54941819371604,156.1165142705307
ISSY YL2.5,119.59093912236415,132.3175117816615,153.68447803115757
ISSY YM3,113.17295124902603,132.70769929512008,150.01364530728097
ISSY YM3.5,102.04476532126371,133.98644291706046,150.98910410811075
ISSY YT4,79.42943159818049,133.09831585126557,147.44617341649757
ISSY YT4.5,84.63873330689634,133.3680556170523,150.16002126981934
MAYBELLINE 109,120.62341661269475,136.53969454008197,147.798724304448
MAYBELLINE 112,121.07689285026747,136.04159332982863,146.06337228009053
MAYBELLINE 115,116.40289426949967,137.4795568607383,146.00801397595103
MAYBELLINE 118,121.67706831191981,133.3440418102157,146.89788390583533
MAYBELLINE 120,107.76853724047335,135.12104896190496,144.61827447348745
MAYBELLINE 125,89.4874708422174,133.57788558983705,144.2969003338702
MAYBELLINE 128,96.82346248405304,132.87063021317906,145.1020885489288
MAYBELLINE 130,95.3394747989364,136.3859881700594,145.15264568115023
MAYBELLINE 220,84.21116080609666,134.15525616119217,144.18783294570233
MAYBELLINE 228,77.29408312342893,134.45106200381363,145.91109484832057
MAYBELLINE 230,85.14806632340994,135.88391756795045,146.90117240269095
MAYBELLINE 235,85.84664116798119,135.64800762749408,144.45629132854842
MAYBELLINE 310,75.4272753712533,137.00498812869486,145.48809095773956
